user_id,item_id,rank,score
1,53,1,1.6816510917514556
1,60,2,1.5316298593732203
1,3,3,1.3831786979747456
1,33,4,1.3677520009886028
1,7,5,1.3148784497778987
2,60,1,2.1936060369037187
2,95,2,1.9405091581310598
2,45,3,1.7850293273792301
2,27,4,1.6960460076680923
2,74,5,1.6895360234725594
3,38,1,1.7882874274065905
3,62,2,1.7194318921115592
3,33,3,1.6060645540674487
3,64,4,1.5343201058930678
3,27,5,1.5120760236543216
4,60,1,2.204055004348741
4,47,2,1.8723995277628878
4,86,3,1.761465129098268
4,2,4,1.6288971931496026
4,33,5,1.6198392745769674
5,45,1,1.7446593012425082
5,89,2,1.7405107977105558
5,60,3,1.5885369362639945
5,40,4,1.583525263500718
5,1,5,1.5258468505386291
6,1,1,1.959055457598108
6,33,2,1.922705445257546
6,96,3,1.714582151272853
6,52,4,1.6175334942262243
6,85,5,1.517053677925673
7,86,1,1.752738548067752
7,50,2,1.612726772886094
7,76,3,1.5049655552868546
7,60,4,1.4945144843477753
7,7,5,1.377427313926351
8,60,1,1.407534383761833
8,93,2,1.3258768862374544
8,2,3,1.3079491756414612
8,36,4,1.1774921687209245
8,33,5,1.1629717338131775
9,7,1,1.6643161317721886
9,60,2,1.4633933526186191
9,92,3,1.424700618103496
9,23,4,1.3896030833735997
9,6,5,1.3751138396663949
10,53,1,1.6409091823616466
10,45,2,1.6000402613940503
10,1,3,1.4812774921865122
10,72,4,1.4716332888501502
10,85,5,1.444977249582911
11,60,1,1.8416798049787437
11,27,2,1.6148347249992727
11,23,3,1.591905346657731
11,1,4,1.57906885859793
11,45,5,1.5762453368457146
12,54,1,1.5181169504262118
12,33,2,1.4940664143763045
12,50,3,1.4747029478084062
12,2,4,1.4177991829512595
12,62,5,1.4145577176437503
13,42,1,1.4572525837695482
13,64,2,1.4277412084102565
13,31,3,1.4133416822131495
13,89,4,1.4050587160843335
13,40,5,1.3963834845227827
14,76,1,2.1240280457051357
14,95,2,1.9727529903882106
14,64,3,1.846901080717148
14,72,4,1.8124130147424768
14,45,5,1.807789498903012
15,29,1,1.9619056406839857
15,50,2,1.7131892585509976
15,54,3,1.6389042669274425
15,40,4,1.6103274376199972
15,2,5,1.575430211934468
16,33,1,2.006844556766249
16,40,2,1.846911043997554
16,60,3,1.804991647427317
16,53,4,1.6076623505348873
16,89,5,1.5942067048645212
17,62,1,1.9348379054426401
17,33,2,1.914465927751087
17,1,3,1.6426945942184472
17,40,4,1.52616115764751
17,60,5,1.4885316014450667
18,85,1,1.8851711326521108
18,60,2,1.6742619014282791
18,40,3,1.6549939219534064
18,11,4,1.5914461890711162
18,17,5,1.5671953068595412
19,60,1,1.935540733960923
19,22,2,1.6692048530808428
19,76,3,1.60338914623126
19,33,4,1.507310798521261
19,50,5,1.4881014623966318
20,79,1,1.8308271000911946
20,22,2,1.8150304951423433
20,64,3,1.7410172224499532
20,38,4,1.6956585174170673
20,8,5,1.657803875606649
21,49,1,1.5573337980987476
21,62,2,1.5091817038973503
21,79,3,1.4643298588450737
21,45,4,1.4253235535963977
21,95,5,1.3703714749400173
22,21,1,1.9216181064229605
22,12,2,1.4620624257397317
22,96,3,1.4595624650330814
22,23,4,1.4248406302702943
22,68,5,1.4168854386390282
23,74,1,1.9876883903884743
23,71,2,1.5805825126290043
23,53,3,1.505968120237349
23,64,4,1.490036599087927
23,26,5,1.4706635117458127
24,60,1,1.7824859899166616
24,50,2,1.5800875802524768
24,11,3,1.454916619615693
24,66,4,1.348467219458503
24,21,5,1.2455429127323376
25,45,1,1.9033455127911496
25,64,2,1.7200459535466148
25,33,3,1.6359972173855202
25,16,4,1.6006341410618121
25,53,5,1.5381943868516985
26,52,1,1.717961573363238
26,47,2,1.6023463125768798
26,85,3,1.5705916926065808
26,49,4,1.547406614246485
26,44,5,1.4617014322344821
27,45,1,1.6485853819885954
27,8,2,1.5865600064122796
27,47,3,1.4756905654735064
27,60,4,1.4184944970115827
27,33,5,1.3881506951729081
28,33,1,2.1796992494279386
